latitude,longitude,Cod,UBS,Borough,Population
-23.62204313,-46.48759604,2788020,UBS FAZENDA DA JUTA II,FAZENDA DA JUTA,15859
-23.51018429,-46.4466548,2091798,UBS SITIO DA CASA PINTADA,SAO MIGUEL PAULISTA,26611
-23.67192149,-46.74592495,2815273,UBS ZUMBI DOS PALMARES,CHACARA SANTANA,14328
-23.5699439,-46.62363768,2786834,UBS CAMBUCI,CAMBUCI,77008
-23.53782177,-46.72234297,3503488,UBS ALTO DE PINHEIROS,V LE0POLDINA,45196
-23.548,-46.636,2787741,UBS J ROSELI,JARDIM ROSELI,28443
-23.69205952,-46.75751209,2787458,UBS J HERCULANO,J HERCULANO,24188
-23.52922797,-46.69526339,2789248,UBS V ROMANA,VILA ROMANA,38797
-23.57673526,-46.39232397,3661660,UBS INACIO MONTEIRO,CIDADE TIRADENTES,20751
-23.71894598,-46.77008629,2787199,UBS J ARACATI,JARDIM ARACATI,12353
-23.76951098,-46.68470621,2787903,UBS J TRES CORACOES,JARDIM TRES CORACOES,18522
-23.56047034,-46.42352343,2789310,UBS V COSMOPOLITA,GUAIANASES,9293
-23.53179216,-46.65234804,2752336,UBS DR HUMBERTO PASCALE SANTA CECILIA,SANTA CECILIA,101615
